Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
Formatowanie,"od 5 zł do 65 zł (zależne od czasu, 65 zł = 1h)",,,,,,,,
Archiwizacja: CD-ROM,5zł,,,,,,,,
Archiwizacja: DVD,7zł,,,,,,,,
Scalanie/Nazywanie plików (do 9 plików),7zł,,,,,,,,
Scalanie/Nazywanie plików (9 - 19 plików),12zł,,,,,,,,
Scalanie/Nazywanie plików (powyżej 20 plików),20zł,,,,,,,,
,,,,,,,,,
Plakaty do 9 szt - MAŁY CANON,,,,,,,,,
Papier 170g (kreda 130g/170g),,,,,,,,,
Ilość,Z marginesem A4,Z marginesem A3,Bez marginesu A4,Bez marginesu A3,,,,,
1-3 szt.,"7,00 zł/szt","8,00 zł/szt","10,00 zł/szt","12,00 zł/szt",,,,,
4-9 szt.,"6,00 zł/szt","7,00 zł/szt","8,00 zł/szt","10,00 zł/szt",,,,,
Papier 200g (kreda 200g),,,,,,,,,
Ilość,Z marginesem A4,Z marginesem A3,Bez marginesu A4,Bez marginesu A3,,,,,
